Event	ID	Name			Wwise Object Path	Notes
	529726532	End			\Default Work Unit\End	
	1335561985	Web_Launch			\Default Work Unit\Web_Launch	
	1560169506	Boss			\Default Work Unit\Boss	
	1917263390	StopMusic			\Default Work Unit\StopMusic	
	2122105434	Hawk_Scream			\Default Work Unit\Hawk_Scream	
	2514411491	Died			\Default Work Unit\Died	
	2524867556	Web_Grip			\Default Work Unit\Web_Grip	
	2607556080	Menu			\Default Work Unit\Menu	
	2678230381	Level2			\Default Work Unit\Level2	
	2776193354	Menu_Quit			\Default Work Unit\Menu_Quit	
	3193947170	Hurt			\Default Work Unit\Hurt	
	3811936753	Birds_Hurt			\Default Work Unit\Birds_Hurt	
	3903201844	Web_Attack			\Default Work Unit\Web_Attack	
	4113816833	InitGame			\Default Work Unit\InitGame	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6923489	Level1_Strings1	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Level1_Strings-002_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Menu\Segments\Level1_Strings1		9584464
	7042929	Level1_Strings1	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Level1_Strings-001_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Menu\Segments\Level1_Strings1		18992464
	37903565	Hawk_Scream-001	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Hawk_Scream-001_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Hawk\Hawk_Scream-001		288724
	40167412	Web_Attack1	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Web_Attack1_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Web_Attack\Web_Attack1		143512
	71411952	Character_Dying-002	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Character_Dying-002_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dying\Character_Dying-002		489336
	72358725	Boss_Marimba_High	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Boss_Marimba_High_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Boss_Fight\Boss_Basse_High\Boss_Marimba_High		2116864
	160666818	Web_Grip-001	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Web_Grip-001_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Web_Grip\Web_Grip-001		222704
	161653911	Empty	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Empty_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movements\Empty		84128
	164811070	Trans_SynthMel	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Trans_SynthMel_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Segments\Trans_SynthMel		2352064
	194934593	Level2_synthHigh	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Level2_synthHigh_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Level2\Level2_strings\Level2_synthHigh		4704064
	213949011	Ennemies_Birds-001	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Ennemies_Birds-001_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Birds\Ennemies_Birds-001		304320
	222675610	Web_Attack2	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Web_Attack2_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Web_Attack\Web_Attack2		118564
	225211638	Ennemies_Birds-004	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Ennemies_Birds-004_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Birds\Ennemies_Birds-004		291848
	226052041	Fish_movements-003	C:\Users\TempAccount\Desktop\GameJams\McGame-2020\PinkFish2\.cache\Windows\SFX\Fish_movements-003_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movements\Fish_movements-003		312260
